"","X","dayID","Nest_ID","Brood_age","Date2","Year","Male_ID","Female_ID","Chick1_ID","Chick1_HD","Chick1_Fate","Chick2_ID","Chick2_HD","Chick2_Fate","Chick3_ID","Chick3_HD","Chick3_Fate","Chick4_ID","Chick4_HD","Chick4_Fate","Chick5_ID","Chick5_HD","Chick5_Fate","Date","Hatching_date","Parents","male_care","female_care","Chicks_nr","Chick1_pres","Chick2_pres","Chick3_pres","Chick4_pres","Chick5_pres","Chick1_surv_age","Chick2_surv_age","Chick3_surv_age","Chick4_surv_age","Chick5_surv_age","Female_dur_care","Male_dur_care","Manipulation","Chick1_pres_full","Chick2_pres_full","Chick3_pres_full","Chick4_pres_full","Chick5_pres_full","Chick_nr2","M_tarsus_mean","Male_CI","F_tarsus_mean","Female_CI","julian_hatching_date","Mean_hatching_date","Sd","Relative_hatching_date","Chick_presence_max_age","Chick_presence_max_day","Male_care_full","Female_care_full","Brood_fate","Female_care_lead","Chick_change_nr","Chick_change","Female_change","End_of_care","Mean_brood_CI","Max_chick_CI","Brood_max_size","Manip_type"
"1",1,"2006_A101_0","2006_A101",0,"2006-06-06",2006,"CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,606,"2006-06-06",4,1,1,1,2,0,NA,NA,NA,8,7,NA,NA,NA,8,8,"U",1,0,NA,NA,NA,1,25.3,38.4424861004269,25.8,38.6371241137103,157,158.116306954436,10.470659757475,-0.10661285728815,8,7,1,1,"died",1,0,0,0,"Brood failure",6.21887173597589,6.33614537278451,2,"U"
"2",2,"2006_A101_1","2006_A101",1,"2006-06-07",2006,"CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,607,"2006-06-06",4,1,1,2,2,2,NA,NA,NA,8,7,NA,NA,NA,8,8,"U",1,1,NA,NA,NA,2,25.3,38.4424861004269,25.8,38.6371241137103,157,158.116306954436,10.470659757475,-0.10661285728815,8,7,1,1,"died",1,0,0,0,"Brood failure",6.21887173597589,6.33614537278451,2,"U"
"3",3,"2006_A101_2","2006_A101",2,"2006-06-08",2006,"CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,608,"2006-06-06",4,1,1,2,2,2,NA,NA,NA,8,7,NA,NA,NA,8,8,"U",1,1,NA,NA,NA,2,25.3,38.4424861004269,25.8,38.6371241137103,157,158.116306954436,10.470659757475,-0.10661285728815,8,7,1,1,"died",1,0,0,0,"Brood failure",6.21887173597589,6.33614537278451,2,"U"
"4",4,"2006_A101_3","2006_A101",3,"2006-06-09",2006,"CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-06-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,NA,NA,NA,8,8,"U",1,1,NA,NA,NA,2,25.3,38.4424861004269,25.8,38.6371241137103,157,158.116306954436,10.470659757475,-0.10661285728815,8,7,1,1,"died",1,0,0,0,"Brood failure",6.21887173597589,6.33614537278451,2,"U"
"5",5,"2006_A101_4","2006_A101",4,"2006-06-10",2006,"CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,610,"2006-06-06",4,1,1,2,2,2,NA,NA,NA,8,7,NA,NA,NA,8,8,"U",1,1,NA,NA,NA,2,25.3,38.4424861004269,25.8,38.6371241137103,157,158.116306954436,10.470659757475,-0.10661285728815,8,7,1,1,"died",1,0,0,0,"Brood failure",6.21887173597589,6.33614537278451,2,"U"
"6",6,"2006_A101_5","2006_A101",5,"2006-06-11",2006,"CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,611,"2006-06-06",4,1,1,2,2,2,NA,NA,NA,8,7,NA,NA,NA,8,8,"U",1,1,NA,NA,NA,2,25.3,38.4424861004269,25.8,38.6371241137103,157,158.116306954436,10.470659757475,-0.10661285728815,8,7,1,1,"died",1,0,0,0,"Brood failure",6.21887173597589,6.33614537278451,2,"U"
"7",7,"2006_A101_6","2006_A101",6,"2006-06-12",2006,"CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,612,"2006-06-06",4,1,1,2,2,2,NA,NA,NA,8,7,NA,NA,NA,8,8,"U",1,1,NA,NA,NA,2,25.3,38.4424861004269,25.8,38.6371241137103,157,158.116306954436,10.470659757475,-0.10661285728815,8,7,1,1,"died",1,0,0,0,"Brood failure",6.21887173597589,6.33614537278451,2,"U"
"8",8,"2006_A101_7","2006_A101",7,"2006-06-13",2006,"CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-06-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,NA,NA,NA,8,8,"U",1,1,NA,NA,NA,2,25.3,38.4424861004269,25.8,38.6371241137103,157,158.116306954436,10.470659757475,-0.10661285728815,8,7,1,1,"died",0,2,1,1,"Brood failure",6.21887173597589,6.33614537278451,2,"U"
"9",9,"2006_A101_8","2006_A101",8,"2006-06-14",2006,"CA050","CA103","CA087","2006-06-06","died","CA088","2006-06-07","died",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-06-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,NA,NA,NA,8,8,"U",0,0,NA,NA,NA,0,25.3,38.4424861004269,25.8,38.6371241137103,157,158.116306954436,10.470659757475,-0.10661285728815,8,7,0,0,"died",NA,0,0,NA,"Brood failure",6.21887173597589,6.33614537278451,2,"U"
"10",10,"2006_A104_0","2006_A104",0,"2006-06-10",2006,"CA051","802109760","CA207","2006-06-10","unknown","CA209","2006-06-10","unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,610,"2006-06-10",0,1,1,2,2,2,NA,NA,NA,14.5,2.5,NA,NA,NA,2.5,15,"U",1,1,NA,NA,NA,2,26,34.6403247396274,26.2,37.1221115189571,161,158.116306954436,10.470659757475,0.275407005132115,14.5,14,1,1,"unknown",1,0,0,0,"Desertion",5.76286008624004,6.13754515327009,2,"U"
